วันที่ข้อมูล|คำนำหน้า|ชื่อ - สกุล ผู้กู้|เลขบัตรประชาชน ผู้กู้|รหัสพนักงาน ผู้กู้| วงเงินอนุมัติ | คงเหลือ |คำนำหน้า|ชื่อผู้ค้ำ|นามสกุลผู้ค้ำ|รหัสพนักงานผู้ค้ำ|เลขบัตรประชาชนผู้ค้ำ
20180801|นางสาว|กอไก่1 ขอไข่1|1123434500001|1234444| 560,000.00 | 121,976.89 |||||
20180801|นางสาว|กอไก่2 ขอไข่2|1123434500002|3604517| 340,000.00 | 77,823.98 |นาง|กอไก่|สุขจริง|4600034|3101234567890
20180801|นางสาว|กอไก่3 ขอไข่3|1123434500003|3602522| 690,000.00 | 157,596.09 |นาง|กอไก่|สุขจริง|4600034|3101234567890
20180801|นาง|กอไก่4 ขอไข่4|1123434500004|3103729| 790,000.00 | 177,941.16 |นาง|กอไก่|สุขจริง|4600034|3101234567890
20180801|นาย|กอไก่5 ขอไข่5|1123434500005|5407530| 900,000.00 | 19,191.04 |นาง|กอไก่|สุขจริง|4600034|3101234567890
20180801|นางสาว|กอไก่6 ขอไข่6|1123434500006|5310860| 500,000.00 | 58,875.50 |นาย|สมชาย|พร|3604440|1111111111111
20180801|นาย|กอไก่7 ขอไข่7|1123434500007|5307250| 400,000.00 | 89,785.23 |นาย|สมชาย|พร|3604440|1111111111111
20180801|นาง|กอไก่8 ขอไข่8|1123434500008|1234445| 439,000.00 | 52,077.44 |||||
20180801|นางสาว|กอไก่9 ขอไข่9|1123434500009|5100469| 420,000.00 | 98,672.96 |นาง|สมหญิง|รวยมาก|4202784|1111111111112
20180801|นาง|กอไก่10 ขอไข่10|1123434500010|1234446| 890,000.00 | 182,778.88 |||||
20180801|นาง|กอไก่11 ขอไข่11|1123434500011|1234555| 300,000.00 | 73,118.70 |นาง|สมหญิง|รวยมาก|4202784|1111111111112
20180801|นาง|กอไก่12 ขอไข่12|1123434500012|1234556| 615,000.00 | 144,354.47 |||||
20180801|นาง|กอไก่13 ขอไข่13|1123434500013|1234557| 360,000.00 | 85,521.00 |นางสาว|สนใจ|แกงส้ม|4102609|1111111111113
20180801|นาย|กอไก่14 ขอไข่14|1123434500014|1234558| 743,000.00 | 178,995.48 |นาย|จรวย|บุตรเลี้ยง|3101132|1111111111113
20180801|นาง|กอไก่15 ขอไข่15|1123434500015|1234559| 200,000.00 | 42,077.49 |นาย|เจริญ|คงยิ่ง|3601092|1111111111113
20180801|นาง|กอไก่16 ขอไข่16|1123434500016|1234560| 1,000,000.00 | 219,982.14 |นาย|สมชาย|พร|3604440|1111111111111
20180801|นาง|กอไก่17 ขอไข่17|1123434500017|1234561| 500,000.00 | 114,920.02 |นาย|สมศักดิ์|ใจดี|3203650|1111111111114
20180801|นางสาว|กอไก่18 ขอไข่18|1123434500018|1234562| 300,000.00 | 72,921.43 |นางสาว|สมพิศ|แก้วสารพัดนึก|4300393|1111111111115
20180801|นาง|กอไก่19 ขอไข่19|1123434500019|1234563| 345,000.00 | 81,052.07 |นาย|สมชาย|พร|3604440|1111111111111
20180801|นาย|กอไก่20 ขอไข่20|1123434500020|1234564| 569,000.00 | 144,181.67 |||||
20180801|นางสาว|กอไก่21 ขอไข่21|1123434500021|1234565| 387,000.00 | 92,128.54 |นาง|สมพร|มีโชค|4303216|1111111111116
20180801|นางสาว|กอไก่22 ขอไข่22|1123434500022|1234566| 300,000.00 | 106,177.07 |||||
20180801|นาง|กอไก่23 ขอไข่23|1123434500023|1234567| 340,000.00 | 104,008.03 |นางสาว|โชคดี|ทองสุก|4001320|1111111111116
20180801|นาง|กอไก่24 ขอไข่24|1123434500024|1234568| 485,000.00 | 162,849.07 |||||
20180801|นางสาว|กอไก่25 ขอไข่25|1123434500025|1234569| 400,000.00 | 130,967.58 |||||
